person1ID,person2ID
2042,3097
3097,2042
1031,4120
4120,1031
5000,5001
5000,5002
5000,5003
5000,5004
5000,5005
5000,5006
5000,5007
5000,5008
5000,5009
5000,5010
5000,5011
5000,5012
5000,5013
5000,5014
5000,5015
5000,5016
5000,5017
5000,5018
5000,5019
5001,5000
5001,5003
5001,5005
5001,5006
5001,5011
5001,5016
5001,5018
5002,5000
5002,5004
5002,5010
5002,5012
5002,5014
5002,5017
5002,5019
5003,5000
5003,5001
5004,5000
5004,5002
5005,5000
5005,5001
5006,5000
5006,5001
5007,5000
5007,5008
5008,5000
5008,5007
5008,5009
5008,5013
5008,5015
5009,5000
5009,5008
5009,5013
5009,5015
5010,5000
5010,5002
5011,5000
5011,5001
5012,5000
5012,5002
5013,5000
5013,5008
5013,5009
5013,5015
5014,5000
5014,5002
5015,5000
5015,5008
5015,5009
5015,5013
5016,5000
5016,5001
5017,5000
5017,5002
5018,5000
5018,5001
5019,5000
5019,5002
5021,5023
5021,5025
5022,5024
5023,5021
5023,5025
5024,5022
5025,5021
5025,5023
5020,5021
5020,5022
5020,5023
5020,5024
5020,5025
5021,5020
5022,5020
5023,5020
5024,5020
5025,5020
5034,5035
5034,5036
5034,5037
5035,5034
5035,5036
5035,5037
5036,5034
5036,5035
5036,5037
5037,5034
5037,5035
5037,5036
5031,5032
5031,5033
5032,5031
5032,5033
5033,5031
5033,5032
5026,5027
5026,5030
5027,5026
5027,5029
5028,5030
5029,5027
5030,5026
5030,5028
5040,5041
5041,5040
5040,5042
5042,5040
5040,5043
5043,5040
5040,5044
5044,5040
5040,5045
5045,5040
5040,5046
5046,5040
5040,5047
5047,5040
5041,5042
5042,5041
5041,5043
5043,5041
5041,5044
5044,5041
5041,5045
5045,5041
5041,5046
5046,5041
5041,5047
5047,5041
5042,5043
5043,5042
5042,5044
5044,5042
5042,5045
5045,5042
5042,5046
5046,5042
5042,5047
5047,5042
5043,5044
5044,5043
5043,5045
5045,5043
5043,5046
5046,5043
5043,5047
5047,5043
5044,5045
5045,5044
5044,5046
5046,5044
5044,5047
5047,5044
5045,5046
5046,5045
5045,5047
5047,5045
5046,5047
5047,5046
5048,5049
5049,5048
5048,5050
5050,5048
5048,5051
5051,5048
5048,5052
5052,5048
5048,5053
5053,5048
5048,5054
5054,5048
5049,5050
5050,5049
5049,5051
5051,5049
5049,5052
5052,5049
5049,5053
5053,5049
5049,5054
5054,5049
5050,5051
5051,5050
5050,5052
5052,5050
5050,5053
5053,5050
5050,5054
5054,5050
5051,5052
5052,5051
5051,5053
5053,5051
5051,5054
5054,5051
5052,5053
5053,5052
5052,5054
5054,5052
5053,5054
5054,5053
5055,5056
5056,5055
5055,5057
5057,5055
5055,5058
5058,5055
5055,5059
5059,5055
5055,5060
5060,5055
5055,5061
5061,5055
5055,5062
5062,5055
5056,5057
5057,5056
5056,5058
5058,5056
5056,5059
5059,5056
5056,5060
5060,5056
5056,5061
5061,5056
5056,5062
5062,5056
5057,5058
5058,5057
5057,5059
5059,5057
5057,5060
5060,5057
5057,5061
5061,5057
5057,5062
5062,5057
5058,5059
5059,5058
5058,5060
5060,5058
5058,5061
5061,5058
5058,5062
5062,5058
5059,5060
5060,5059
5059,5061
5061,5059
5059,5062
5062,5059
5060,5061
5061,5060
5050,5062
5062,5050
5061,5062
5062,5061
5063,5064
5064,5063
5063,5065
5065,5063
5063,5066
5066,5063
5063,5067
5067,5063
5063,5068
5068,5063
5063,5069
5069,5063
5064,5065
5065,5064
5064,5066
5066,5064
5064,5067
5067,5064
5064,5068
5068,5064
5064,5069
5069,5064
5065,5066
5066,5065
5065,5067
5067,5065
5065,5068
5068,5065
5065,5069
5069,5065
5066,5067
5067,5066
5066,5068
5068,5066
5066,5069
5069,5066
5067,5068
5068,5067
5067,5069
5069,5067
5068,5069
5069,5068
5040,5031
5031,5040
5048,5031
5031,5048
5055,5031
5031,5055
5063,5031
5031,5063
5070,5031
5031,5070
5042,5049
5049,5042
5045,5057
5057,5045
5060,5072
5072,5060
5066,5041
5041,5066
5059,5068
5068,5059
5092,5093
5093,5092
5094,5097
5097,5094
5095,5100
5100,5095
5098,5102
5102,5098
5099,5101
5101,5099

