personID,cityID
1031,34
2042,34
3097,34
5000,34
5001,34
5002,34
5003,34
5004,34
5005,34
5006,34
5007,34
5008,35
5009,34
5010,34
5011,34
5012,34
5013,34
5014,34
5015,34
5016,34
5017,34
5018,35
5019,34
5020,63
5021,6
5022,16
5023,34
5024,35
5025,34
5026,34
5027,1
5028,63
5029,35
5030,16
5031,6
5032,6
5033,34
5034,34
5035,63
5036,63
5037,34
5038,34
5039,34
5040,34
5041,34
5042,34
5043,34
5044,34
5045,34
5046,34
5047,34
5048,16
5049,16
5050,16
5051,16
5052,16
5053,16
5054,16
5055,35
5056,35
5057,35
5058,35
5059,35
5060,35
5061,35
5062,35
5063,6
5064,6
5065,6
5066,6
5067,6
5068,6
5069,6
5070,63
5071,63
5072,63
5073,63
5074,63
5075,63
5076,63
5092,6
5093,6
5094,6
5095,6
5096,6
5097,6
5098,6
5099,6
5100,6
5101,6
5102,6
5103,6
5104,6
5105,6
5106,6
5110,34
5111,16
5112,35
5113,35

